Source	PHENOTYPE
GSM682128	Malignant
GSM682127	Malignant
GSM682126	Malignant
GSM682125	Malignant
GSM682124	Malignant
GSM682123	Malignant
GSM682095	Malignant
GSM682094	Malignant
GSM682093	Malignant
GSM682092	Malignant
GSM682091	Malignant
GSM682090	Malignant
GSM682089	Malignant
GSM682088	Malignant
GSM682087	Malignant
GSM682086	Malignant
GSM682085	Malignant
GSM682084	Malignant
GSM682083	Malignant
GSM682082	Malignant
GSM682081	Malignant
GSM682080	Malignant
GSM682079	Malignant
GSM682078	Malignant
GSM682077	Malignant
GSM682076	Malignant
GSM682075	Malignant
GSM682074	Malignant
GSM682073	Malignant
GSM682072	Malignant
GSM682071	Malignant
GSM682070	Malignant
GSM682069	Malignant
GSM682068	Malignant
GSM682067	Malignant
GSM682066	Malignant
GSM682065	Malignant
GSM682064	Malignant
GSM682063	Malignant
GSM682062	Malignant
GSM682061	Malignant
GSM682060	Malignant
GSM682059	Malignant
GSM682058	Malignant
GSM682057	Malignant
GSM682056	Malignant
GSM682055	Malignant
GSM682054	Normal
GSM682053	Normal
GSM682052	Normal
GSM682051	Normal
GSM682050	Normal
GSM682049	Normal
GSM682048	Normal
GSM682047	Normal
GSM682046	Normal
GSM682045	Normal
GSM682044	Normal
GSM682043	Normal
GSM682042	Normal
GSM682041	Normal
GSM682040	Normal
GSM682039	Normal
GSM682038	Normal
GSM682037	Normal
GSM682036	Normal
GSM682035	Normal
GSM682034	Normal
GSM682001	Malignant
GSM682000	Malignant
GSM681999	Malignant
GSM681998	Malignant
GSM681997	Malignant
GSM681996	Malignant
GSM681995	Malignant
GSM681994	Malignant
GSM681993	Malignant
GSM681992	Malignant
GSM681991	Normal
GSM681990	Normal
GSM681989	Normal
GSM681988	Normal
GSM681987	Normal
GSM681986	Normal
GSM681985	Normal
GSM681984	Normal
GSM681983	Normal
GSM681982	Normal
