Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	UNC	IlluminaHiSeq_RNASeqV2	n/a	selected_samples	N/A	unc.edu_BRCA.IlluminaHiSeq_RNASeqV2.1.12.0.idf.txt
METADATA	UNC	IlluminaHiSeq_RNASeqV2	n/a	selected_samples	N/A	unc.edu_BRCA.IlluminaHiSeq_RNASeqV2.1.12.0.sdrf.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1RD-11	TCGA-E9-A1RD-11A-33R-A157-07	unc.edu.000d877f-8d03-44bc-8607-27b5ba84b5fe.1167749.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1RC-01	TCGA-E9-A1RC-01A-11R-A157-07	unc.edu.00168e86-d23a-48ae-8c60-36d970051907.1168774.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0HK-11	TCGA-BH-A0HK-11A-11R-A089-07	unc.edu.01163f75-8956-40a6-97a5-3c0478d904f8.1171738.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18U-11	TCGA-BH-A18U-11A-23R-A12D-07	unc.edu.02222fea-f3da-4328-8188-8ef24d1f55e4.1130875.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FU-01	TCGA-BH-A1FU-01A-11R-A14D-07	unc.edu.05a4f4ff-cdfd-4332-8146-066657a4c3cc.1096605.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1N6-01	TCGA-E9-A1N6-01A-11R-A144-07	unc.edu.05b5084f-5e4f-43a3-9819-456a4f24ad82.1117073.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18P-11	TCGA-BH-A18P-11A-43R-A12D-07	unc.edu.08236177-a046-4cfe-a11c-a24292a1f777.1134069.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DV-11	TCGA-BH-A0DV-11A-22R-A12P-07	unc.edu.09f570eb-a751-41db-9511-300be228f24e.1124615.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A7-A0CH-01	TCGA-A7-A0CH-01A-21R-A00Z-07	unc.edu.0b225e38-d4c8-4cb5-a668-316894ab858f.1157305.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18L-11	TCGA-BH-A18L-11A-42R-A12D-07	unc.edu.0b937a20-66d4-4d05-bf50-4828cead9c92.1130713.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A7-A0DB-01	TCGA-A7-A0DB-01A-11R-A00Z-07	unc.edu.0c74bde4-0411-4cfd-9c60-d8eaf8a09629.1158375.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DV-01	TCGA-BH-A0DV-01A-21R-A12P-07	unc.edu.0d029d04-13cd-4870-a9e3-9d2e65c9b0b7.1133591.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1N6-11	TCGA-E9-A1N6-11A-32R-A144-07	unc.edu.0f263a65-a664-4e23-bd9c-91e955f3bf21.1117180.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DL-01	TCGA-BH-A0DL-01A-11R-A115-07	unc.edu.1013446f-5beb-485d-809a-efe81a2138dd.1136977.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BS-11	TCGA-BH-A0BS-11A-11R-A12P-07	unc.edu.10d54893-647f-40a9-8aa7-602e04d55faf.1133706.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18Q-11	TCGA-BH-A18Q-11A-34R-A12D-07	unc.edu.120bc298-f016-4c80-aa5f-a9006444942c.1130925.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1R7-11	TCGA-E9-A1R7-11A-42R-A14M-07	unc.edu.1457ae2c-4b9b-448a-b455-432a7121beb4.1102596.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A204-01	TCGA-BH-A204-01A-11R-A157-07	unc.edu.19c3c4c7-d34c-47d5-b09f-c5671f49b858.1132265.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1N5-01	TCGA-E9-A1N5-01A-11R-A14D-07	unc.edu.1adf0e70-b1fb-4862-8a01-6454b09636f4.1115840.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FH-11	TCGA-BH-A1FH-11B-42R-A13Q-07	unc.edu.1b831e2d-c265-4eac-aee0-248493a14218.1170323.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1RI-01	TCGA-E9-A1RI-01A-11R-A169-07	unc.edu.1c77a00e-8cea-48ae-b9b5-193cdecf3604.1129173.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E2-A1IG-11	TCGA-E2-A1IG-11A-22R-A144-07	unc.edu.1e55cf08-da43-471d-813c-9d37c7abc730.1117866.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18M-11	TCGA-BH-A18M-11A-33R-A12D-07	unc.edu.2147e537-16f0-4bc3-a87f-572f8dcb9191.1130724.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-GI-A2C8-01	TCGA-GI-A2C8-01A-11R-A16F-07	unc.edu.21531069-76ec-4e0f-b915-51c00b2c42f1.1094898.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BJ-01	TCGA-BH-A0BJ-01A-11R-A056-07	unc.edu.224cbe13-ebf8-41eb-ab1c-1d6792a66774.1152584.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0H9-11	TCGA-BH-A0H9-11A-22R-A466-07	unc.edu.27d4c881-e906-437f-921d-467eb107798a.2667450.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AC-A23H-01	TCGA-AC-A23H-01A-11R-A157-07	unc.edu.28199d71-9111-4763-a07f-66734769bb98.1128866.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18V-11	TCGA-BH-A18V-11A-52R-A12D-07	unc.edu.288c81eb-4c43-406b-a5e5-fee452a95afb.1133008.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FJ-01	TCGA-BH-A1FJ-01A-11R-A13Q-07	unc.edu.28bc840d-296e-436e-93b8-9c28c0eaf47a.1132776.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BQ-01	TCGA-BH-A0BQ-01A-21R-A115-07	unc.edu.2ada4fe0-57f2-4a54-9580-4e0ae45a2f65.1142032.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0B7-01	TCGA-BH-A0B7-01A-12R-A115-07	unc.edu.2af2adfe-bd7b-4eb1-9971-182b11075159.1134095.rsem.genes.normalized_results
