PlatformType	Center	Platform	Level	Sample	Barcode	FileName
METADATA	UNC	IlluminaHiSeq_RNASeqV2	n/a	selected_samples	N/A	unc.edu_COAD.IlluminaHiSeq_RNASeqV2.1.12.0.idf.txt
METADATA	UNC	IlluminaHiSeq_RNASeqV2	n/a	selected_samples	N/A	unc.edu_COAD.IlluminaHiSeq_RNASeqV2.1.12.0.sdrf.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3662-11	TCGA-AA-3662-11A-01R-1723-07	unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784211.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3662-11	TCGA-AA-3662-11A-01R-1723-07	unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784726.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3662-11	TCGA-AA-3662-11A-01R-1723-07	unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784727.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3662-11	TCGA-AA-3662-11A-01R-1723-07	unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784748.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3662-11	TCGA-AA-3662-11A-01R-1723-07	unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1784749.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3662-11	TCGA-AA-3662-11A-01R-1723-07	unc.edu.002f75a0-98e8-4b4b-a568-538b79703c19.1785248.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-01	TCGA-A6-5665-01A-01R-1653-07	unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802185.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-01	TCGA-A6-5665-01A-01R-1653-07	unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802807.rsem.genes.results
