Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	UNC	IlluminaHiSeq_RNASeqV2	n/a	selected_samples	N/A	unc.edu_LUAD.IlluminaHiSeq_RNASeqV2.1.15.0.idf.txt
METADATA	UNC	IlluminaHiSeq_RNASeqV2	n/a	selected_samples	N/A	unc.edu_LUAD.IlluminaHiSeq_RNASeqV2.1.15.0.sdrf.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-44-6148-11	TCGA-44-6148-11A-01R-1858-07	unc.edu.0391cb59-6ceb-4d9a-be02-5d68b4ddafc3.1100878.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-44-6148-11	TCGA-44-6148-11A-01R-1858-07	unc.edu.0391cb59-6ceb-4d9a-be02-5d68b4ddafc3.1103737.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-44-6148-11	TCGA-44-6148-11A-01R-1858-07	unc.edu.0391cb59-6ceb-4d9a-be02-5d68b4ddafc3.1103738.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-44-6148-11	TCGA-44-6148-11A-01R-1858-07	unc.edu.0391cb59-6ceb-4d9a-be02-5d68b4ddafc3.1103768.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-44-6148-11	TCGA-44-6148-11A-01R-1858-07	unc.edu.0391cb59-6ceb-4d9a-be02-5d68b4ddafc3.1103769.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-44-6148-11	TCGA-44-6148-11A-01R-1858-07	unc.edu.0391cb59-6ceb-4d9a-be02-5d68b4ddafc3.1760326.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-50-5939-11	TCGA-50-5939-11A-01R-1628-07	unc.edu.0569af63-9a1d-4f03-9a67-1269c7973677.1225974.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-50-5939-11	TCGA-50-5939-11A-01R-1628-07	unc.edu.0569af63-9a1d-4f03-9a67-1269c7973677.1227376.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-50-5939-11	TCGA-50-5939-11A-01R-1628-07	unc.edu.0569af63-9a1d-4f03-9a67-1269c7973677.1227377.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-50-5939-11	TCGA-50-5939-11A-01R-1628-07	unc.edu.0569af63-9a1d-4f03-9a67-1269c7973677.1227411.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-50-5939-11	TCGA-50-5939-11A-01R-1628-07	unc.edu.0569af63-9a1d-4f03-9a67-1269c7973677.1227416.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-50-5939-11	TCGA-50-5939-11A-01R-1628-07	unc.edu.0569af63-9a1d-4f03-9a67-1269c7973677.1761093.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6968-01	TCGA-55-6968-01A-11R-1949-07	unc.edu.09fba9fa-29d2-41a1-b3aa-4bfd97be3fc8.1099105.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6968-01	TCGA-55-6968-01A-11R-1949-07	unc.edu.09fba9fa-29d2-41a1-b3aa-4bfd97be3fc8.1102174.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6968-01	TCGA-55-6968-01A-11R-1949-07	unc.edu.09fba9fa-29d2-41a1-b3aa-4bfd97be3fc8.1102175.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6968-01	TCGA-55-6968-01A-11R-1949-07	unc.edu.09fba9fa-29d2-41a1-b3aa-4bfd97be3fc8.1102310.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6968-01	TCGA-55-6968-01A-11R-1949-07	unc.edu.09fba9fa-29d2-41a1-b3aa-4bfd97be3fc8.1102313.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6968-01	TCGA-55-6968-01A-11R-1949-07	unc.edu.09fba9fa-29d2-41a1-b3aa-4bfd97be3fc8.1759920.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-49-6761-11	TCGA-49-6761-11A-01R-1949-07	unc.edu.0ab304f8-0976-4637-8955-199e1782ab16.1202216.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-49-6761-11	TCGA-49-6761-11A-01R-1949-07	unc.edu.0ab304f8-0976-4637-8955-199e1782ab16.1203972.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-49-6761-11	TCGA-49-6761-11A-01R-1949-07	unc.edu.0ab304f8-0976-4637-8955-199e1782ab16.1203973.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-49-6761-11	TCGA-49-6761-11A-01R-1949-07	unc.edu.0ab304f8-0976-4637-8955-199e1782ab16.1204031.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-49-6761-11	TCGA-49-6761-11A-01R-1949-07	unc.edu.0ab304f8-0976-4637-8955-199e1782ab16.1204037.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-49-6761-11	TCGA-49-6761-11A-01R-1949-07	unc.edu.0ab304f8-0976-4637-8955-199e1782ab16.1759850.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6971-11	TCGA-55-6971-11A-01R-1949-07	unc.edu.0b78c265-393c-4e3a-a53e-3ba76556c506.1098717.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6971-11	TCGA-55-6971-11A-01R-1949-07	unc.edu.0b78c265-393c-4e3a-a53e-3ba76556c506.1101993.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6971-11	TCGA-55-6971-11A-01R-1949-07	unc.edu.0b78c265-393c-4e3a-a53e-3ba76556c506.1101994.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6971-11	TCGA-55-6971-11A-01R-1949-07	unc.edu.0b78c265-393c-4e3a-a53e-3ba76556c506.1102100.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6971-11	TCGA-55-6971-11A-01R-1949-07	unc.edu.0b78c265-393c-4e3a-a53e-3ba76556c506.1102105.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-55-6971-11	TCGA-55-6971-11A-01R-1949-07	unc.edu.0b78c265-393c-4e3a-a53e-3ba76556c506.1759919.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-91-6847-01	TCGA-91-6847-01A-11R-1949-07	unc.edu.0c96bb0f-11f1-421c-b2c5-55458ba95d97.1499776.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-91-6847-01	TCGA-91-6847-01A-11R-1949-07	unc.edu.0c96bb0f-11f1-421c-b2c5-55458ba95d97.1501910.rsem.genes.results
